ward,wardcode,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p
Astley Bridge,E05000650,529,8.9,"1,863",31.2,"2,438",40.9,"1,132",19.0
Bradshaw,E05000651,199,4.0,"1,280",25.9,"2,479",50.1,993,20.1
Breightmet,E05000652,651,10.8,"1,877",31.2,"3,003",49.9,484,8.0
Bromley Cross,E05000653,276,4.6,"1,641",27.5,"2,423",40.6,"1,622",27.2
Crompton (Bolton),E05000654,838,12.4,"2,933",43.5,"2,156",31.9,822,12.2
Farnworth (Bolton),E05000655,767,11.5,"2,416",36.2,"2,989",44.7,509,7.6
Great Lever,E05000656,922,16.0,"2,118",36.7,"1,931",33.5,796,13.8
Halliwell,E05000657,"1,456",23.6,"2,605",42.2,"1,395",22.6,723,11.7
Harper Green,E05000658,396,7.3,"1,204",22.1,"3,317",61.0,520,9.6
Heaton and Lostock,E05000659,175,3.2,"1,036",19.2,"1,813",33.6,"2,371",43.9
Horwich North East,E05000661,437,7.7,"1,569",27.6,"2,553",44.9,"1,133",19.9
Horwich and Blackrod,E05000660,424,6.6,"2,084",32.2,"2,767",42.8,"1,189",18.4
Hulton,E05000662,543,9.2,"1,927",32.8,"2,443",41.5,967,16.4
Kearsley,E05000663,749,11.4,"2,121",32.3,"3,019",45.9,686,10.4
Little Lever and Darcy Lever,E05000664,391,7.0,"1,756",31.4,"2,699",48.2,755,13.5
Rumworth,E05000665,630,10.8,"2,529",43.4,"1,853",31.8,815,14.0
Smithills,E05000666,328,5.4,"2,000",33.2,"2,679",44.5,"1,019",16.9
Tonge with the Haulgh,E05000667,826,14.1,"2,080",35.6,"2,463",42.2,469,8.0
Westhoughton North and Chew Moor,E05000668,376,6.1,"1,691",27.3,"2,745",44.3,"1,385",22.3
Westhoughton South,E05000669,359,6.4,"1,597",28.5,"2,404",42.9,"1,240",22.1
Besses,E05014152,262,5.7,"1,133",24.5,"2,746",59.3,490,10.6
Bury East,E05014153,715,13.7,"2,456",47.1,"1,574",30.2,464,8.9
Bury West,E05014154,398,8.6,984,21.2,"2,064",44.5,"1,197",25.8
Elton,E05014155,258,5.3,"1,616",33.0,"1,896",38.7,"1,125",23.0
Holyrood,E05014156,336,7.1,941,19.8,"2,606",54.8,871,18.3
Moorside (Bury),E05014157,685,13.8,"1,909",38.6,"1,857",37.5,499,10.1
North Manor,E05014158,168,4.0,933,22.1,"1,843",43.7,"1,271",30.2
Pilkington Park,E05014159,189,4.5,"1,036",24.5,"1,762",41.7,"1,234",29.2
Radcliffe East,E05014160,401,8.2,"1,833",37.7,"2,106",43.3,524,10.8
Radcliffe North & Ainsworth,E05014161,664,12.4,"1,454",27.2,"2,340",43.8,886,16.6
Radcliffe West,E05014162,488,9.8,"1,826",36.6,"2,076",41.6,604,12.1
Ramsbottom,E05014163,392,7.7,"1,757",34.5,"1,829",35.9,"1,119",22.0
Redvales,E05014164,538,11.8,"1,500",32.9,"1,924",42.2,601,13.2
Sedgley (Bury),E05014165,480,10.8,627,14.2,"2,082",47.0,"1,242",28.0
St. Mary's (Bury),E05014166,608,12.4,"1,292",26.3,"2,008",40.9,996,20.3
Tottington,E05014167,158,3.7,"1,237",29.2,"1,928",45.6,909,21.5
Unsworth,E05014168,468,9.8,946,19.9,"2,319",48.8,"1,020",21.5
Cherryfield,E05010935,244,5.3,"1,087",23.5,"2,741",59.3,550,11.9
Halewood North,E05010936,362,8.2,835,18.9,"2,216",50.3,995,22.6
Halewood South,E05010937,398,8.9,702,15.7,"2,388",53.3,989,22.1
Northwood (Knowsley),E05010938,468,9.3,"1,342",26.6,"2,365",46.9,867,17.2
Page Moss,E05010939,188,3.8,991,19.8,"3,487",69.7,335,6.7
Prescot North,E05010940,436,8.9,"1,539",31.5,"2,091",42.7,826,16.9
Prescot South,E05010941,87,2.1,998,23.5,"2,520",59.5,633,14.9
Roby,E05010942,95,2.4,386,9.8,"2,385",60.9,"1,053",26.9
Shevington,E05010943,105,2.3,729,16.0,"3,008",66.2,704,15.5
St Gabriels,E05010944,233,5.6,"1,019",24.6,"2,260",54.5,635,15.3
St Michaels (Knowsley),E05010945,429,10.7,507,12.7,"2,628",65.7,438,10.9
Stockbridge,E05010946,288,6.1,"1,361",29.0,"2,568",54.6,482,10.3
Swanside,E05010947,94,2.4,312,8.1,"2,919",75.5,539,13.9
Whiston and Cronton,E05010948,264,6.7,943,24.0,"2,267",57.8,451,11.5
Whitefield,E05010949,407,9.5,945,22.0,"2,242",52.2,704,16.4
Allerton and Hunts Cross,E05000886,292,4.5,746,11.6,"3,977",61.8,"1,424",22.1
Anfield,E05000887,653,10.1,"1,596",24.6,"3,577",55.2,656,10.1
Belle Vale (Liverpool),E05000888,429,6.2,"1,530",22.3,"4,128",60.0,788,11.5
Central (Liverpool),E05000889,"2,452",34.0,"2,874",39.9,"1,070",14.9,807,11.2
Childwall,E05000890,161,3.1,299,5.8,"3,485",67.4,"1,225",23.7
Church (Liverpool),E05000891,248,4.4,758,13.4,"2,634",46.5,"2,024",35.7
Clubmoor,E05000892,354,5.3,540,8.1,"5,436",81.8,316,4.8
County,E05000893,440,6.9,"2,463",38.8,"2,921",46.0,527,8.3
Cressington,E05000894,609,9.5,846,13.2,"3,436",53.5,"1,529",23.8
Croxteth,E05000895,257,4.3,"1,714",28.6,"2,832",47.3,"1,186",19.8
Everton (Liverpool),E05000896,"1,347",17.2,"2,715",34.7,"3,087",39.5,672,8.6
Fazakerley,E05000897,406,5.9,"1,387",20.2,"4,049",59.1,"1,009",14.7
Greenbank,E05000898,"1,094",19.3,"1,352",23.9,"1,571",27.8,"1,642",29.0
Kensington and Fairfield,E05000899,"1,208",17.0,"2,311",32.5,"2,494",35.0,"1,103",15.5
Kirkdale,E05000900,"1,298",15.1,"3,376",39.2,"3,313",38.5,616,7.2
Knotty Ash,E05000901,496,8.1,759,12.3,"4,047",65.8,849,13.8
Mossley Hill,E05000902,366,6.9,"1,135",21.4,"2,443",46.1,"1,354",25.6
Norris Green,E05000903,347,4.4,"1,406",17.8,"5,710",72.5,417,5.3
Old Swan,E05000904,660,9.3,"1,846",26.0,"4,112",58.0,475,6.7
Picton,E05000905,980,13.2,"2,952",39.7,"2,216",29.8,"1,288",17.3
Princes Park (Liverpool),E05000906,"2,356",28.6,"3,147",38.2,"2,076",25.2,665,8.1
Riverside (Liverpool),E05000907,"2,890",25.3,"5,335",46.7,"2,602",22.8,595,5.2
Speke-Garston,E05000909,816,8.7,"2,500",26.7,"5,276",56.4,755,8.1
St Michael's (Liverpool),E05000908,"1,476",23.5,"1,893",30.1,"1,956",31.1,956,15.2
