ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Astley Bridge,E05000650,"1,935",32.5,"2,410",40.4,"1,460",24.5,137,2.3,21,0.4
Bradshaw,E05000651,"2,151",43.4,"1,848",37.3,841,17.0,105,2.1,6,0.1
Breightmet,E05000652,"1,574",26.2,"2,186",36.4,"1,969",32.8,249,4.1,34,0.6
Bromley Cross,E05000653,"2,657",44.6,"2,303",38.6,939,15.7,58,1.0,7,0.1
Crompton (Bolton),E05000654,"1,102",16.3,"2,615",38.7,"2,388",35.4,492,7.3,152,2.3
Farnworth (Bolton),E05000655,"1,340",20.1,"2,495",37.3,"2,391",35.8,376,5.6,79,1.2
Great Lever,E05000656,847,14.7,"1,720",29.8,"2,296",39.8,609,10.6,294,5.1
Halliwell,E05000657,698,11.3,"1,829",29.6,"2,894",46.8,547,8.9,211,3.4
Harper Green,E05000658,"1,406",25.9,"1,764",32.4,"1,716",31.6,378,7.0,173,3.2
Heaton and Lostock,E05000659,"2,988",55.4,"1,595",29.6,676,12.5,105,1.9,32,0.6
Horwich North East,E05000661,"2,321",40.8,"2,085",36.6,"1,182",20.8,95,1.7,9,0.2
Horwich and Blackrod,E05000660,"2,313",35.8,"2,687",41.6,"1,346",20.8,114,1.8,6,0.1
Hulton,E05000662,"1,730",29.4,"2,176",37.0,"1,641",27.9,269,4.6,64,1.1
Kearsley,E05000663,"1,882",28.6,"2,622",39.9,"1,857",28.2,198,3.0,17,0.3
Little Lever and Darcy Lever,E05000664,"1,863",33.3,"2,269",40.5,"1,327",23.7,128,2.3,15,0.3
Rumworth,E05000665,784,13.5,"1,842",31.6,"2,202",37.8,758,13.0,236,4.1
Smithills,E05000666,"1,982",32.9,"2,253",37.4,"1,487",24.7,255,4.2,49,0.8
Tonge with the Haulgh,E05000667,"1,333",22.8,"2,167",37.1,"2,026",34.7,254,4.4,59,1.0
Westhoughton North and Chew Moor,E05000668,"2,518",40.6,"2,404",38.8,"1,170",18.9,97,1.6,6,0.1
Westhoughton South,E05000669,"2,103",37.6,"2,171",38.8,"1,205",21.5,106,1.9,15,0.3
Besses,E05014152,"1,592",34.4,"1,658",35.8,"1,210",26.1,153,3.3,17,0.4
Bury East,E05014153,796,15.3,"1,894",36.4,"1,969",37.8,424,8.1,125,2.4
Bury West,E05014154,"2,092",45.1,"1,502",32.3,944,20.3,88,1.9,17,0.4
Elton,E05014155,"1,764",36.1,"1,889",38.6,"1,083",22.1,145,3.0,12,0.2
Holyrood,E05014156,"2,047",43.0,"1,635",34.4,939,19.7,114,2.4,23,0.5
Moorside (Bury),E05014157,"1,120",22.6,"1,751",35.4,"1,748",35.3,266,5.4,66,1.3
North Manor,E05014158,"2,151",51.0,"1,467",34.8,550,13.1,38,0.9,8,0.2
Pilkington Park,E05014159,"2,018",47.8,"1,565",37.1,571,13.5,56,1.3,9,0.2
