ward,wardcode,car0,car0p,car1,car1p,car2,car2p,car3,car3p
Astley Bridge,E05000650,"1,202",20.2,"2,503",42.0,"1,732",29.1,525,8.8
Bradshaw,E05000651,796,16.1,"2,045",41.3,"1,627",32.8,485,9.8
Breightmet,E05000652,"1,802",30.0,"2,518",41.9,"1,357",22.6,335,5.6
Bromley Cross,E05000653,688,11.5,"2,474",41.5,"2,162",36.3,638,10.7
Crompton (Bolton),E05000654,"2,130",31.6,"3,062",45.4,"1,271",18.8,286,4.2
Farnworth (Bolton),E05000655,"2,263",33.9,"2,903",43.5,"1,215",18.2,300,4.5
Great Lever,E05000656,"2,125",36.8,"2,433",42.2,893,15.5,316,5.5
Halliwell,E05000657,"2,857",46.2,"2,396",38.8,734,11.9,192,3.1
Harper Green,E05000658,"1,363",25.1,"2,353",43.3,"1,340",24.6,381,7.0
Heaton and Lostock,E05000659,567,10.5,"2,122",39.3,"2,016",37.4,690,12.8
Horwich North East,E05000661,"1,135",19.9,"2,365",41.5,"1,697",29.8,495,8.7
Horwich and Blackrod,E05000660,"1,165",18.0,"2,881",44.6,"1,934",29.9,484,7.5
Hulton,E05000662,"1,369",23.3,"2,555",43.5,"1,520",25.9,436,7.4
Kearsley,E05000663,"1,587",24.1,"2,970",45.2,"1,562",23.8,456,6.9
Little Lever and Darcy Lever,E05000664,"1,051",18.8,"2,476",44.2,"1,590",28.4,486,8.7
Rumworth,E05000665,"2,105",36.2,"2,607",44.8,839,14.4,271,4.7
Smithills,E05000666,"1,309",21.7,"2,681",44.5,"1,624",27.0,410,6.8
Tonge with the Haulgh,E05000667,"2,062",35.3,"2,523",43.2,"1,020",17.5,233,4.0
Westhoughton North and Chew Moor,E05000668,855,13.8,"2,735",44.1,"2,017",32.6,588,9.5
Westhoughton South,E05000669,998,17.8,"2,211",39.5,"1,817",32.4,574,10.2
Besses,E05014152,"1,224",26.4,"2,139",46.2,"1,007",21.7,260,5.6
Bury East,E05014153,"1,898",36.4,"2,283",43.8,823,15.8,207,4.0
Bury West,E05014154,819,17.6,"1,876",40.4,"1,530",32.9,421,9.1
Elton,E05014155,976,19.9,"2,098",42.9,"1,445",29.5,374,7.6
Holyrood,E05014156,948,19.9,"2,226",46.8,"1,275",26.8,307,6.5
Moorside (Bury),E05014157,"1,611",32.5,"2,140",43.2,955,19.3,245,4.9
North Manor,E05014158,466,11.1,"1,644",39.0,"1,603",38.0,501,11.9
Pilkington Park,E05014159,627,14.9,"1,811",42.9,"1,423",33.7,358,8.5
Radcliffe East,E05014160,"1,333",27.4,"2,134",43.9,"1,112",22.9,285,5.9
Radcliffe North & Ainsworth,E05014161,"1,095",20.5,"2,234",41.8,"1,511",28.3,504,9.4
Radcliffe West,E05014162,"1,357",27.2,"2,186",43.8,"1,174",23.5,277,5.5
Ramsbottom,E05014163,811,15.9,"2,144",42.1,"1,669",32.8,468,9.2
Redvales,E05014164,"1,280",28.1,"2,057",45.1,972,21.3,253,5.5
