ward,wardcode,nodis,nodisp,onedis,onedisp,twodis,twodisp
Astley Bridge,E05000650,"4,016",67.4,"1,554",26.1,392,6.6
Bradshaw,E05000651,"3,238",65.4,"1,338",27.0,375,7.6
Breightmet,E05000652,"3,502",58.3,"1,939",32.3,571,9.5
Bromley Cross,E05000653,"4,279",71.8,"1,357",22.8,326,5.5
Crompton (Bolton),E05000654,"4,395",65.1,"1,874",27.8,480,7.1
Farnworth (Bolton),E05000655,"3,943",59.0,"2,142",32.1,596,8.9
Great Lever,E05000656,"3,683",63.9,"1,665",28.9,419,7.3
Halliwell,E05000657,"3,739",60.5,"1,978",32.0,459,7.4
Harper Green,E05000658,"3,363",61.9,"1,614",29.7,460,8.5
Heaton and Lostock,E05000659,"3,807",70.6,"1,281",23.7,307,5.7
Horwich North East,E05000661,"3,690",64.8,"1,602",28.1,401,7.0
Horwich and Blackrod,E05000660,"4,364",67.5,"1,662",25.7,438,6.8
Hulton,E05000662,"3,858",65.6,"1,580",26.9,442,7.5
Kearsley,E05000663,"4,338",66.0,"1,784",27.1,453,6.9
Little Lever and Darcy Lever,E05000664,"3,502",62.5,"1,642",29.3,458,8.2
Rumworth,E05000665,"3,716",63.8,"1,662",28.5,444,7.6
Smithills,E05000666,"4,038",67.0,"1,560",25.9,428,7.1
Tonge with the Haulgh,E05000667,"3,571",61.2,"1,804",30.9,463,7.9
Westhoughton North and Chew Moor,E05000668,"4,238",68.4,"1,567",25.3,390,6.3
Westhoughton South,E05000669,"3,637",64.9,"1,548",27.6,415,7.4
Besses,E05014152,"2,936",63.4,"1,316",28.4,378,8.2
Bury East,E05014153,"3,288",63.1,"1,508",29.0,412,7.9
Bury West,E05014154,"3,151",67.9,"1,187",25.6,305,6.6
Elton,E05014155,"3,285",67.1,"1,270",26.0,338,6.9
Holyrood,E05014156,"3,233",68.0,"1,182",24.9,338,7.1
Moorside (Bury),E05014157,"2,991",60.4,"1,549",31.3,409,8.3
North Manor,E05014158,"2,883",68.4,"1,062",25.2,269,6.4
Pilkington Park,E05014159,"2,918",69.2,"1,036",24.6,265,6.3
Radcliffe East,E05014160,"3,157",64.9,"1,322",27.2,385,7.9
Radcliffe North & Ainsworth,E05014161,"3,326",62.2,"1,574",29.5,444,8.3
Radcliffe West,E05014162,"3,207",64.2,"1,417",28.4,371,7.4
Ramsbottom,E05014163,"3,598",70.7,"1,224",24.0,270,5.3
Redvales,E05014164,"2,833",62.1,"1,381",30.3,349,7.6
Sedgley (Bury),E05014165,"2,957",66.7,"1,104",24.9,370,8.4
St. Mary's (Bury),E05014166,"3,286",67.0,"1,301",26.5,317,6.5
Tottington,E05014167,"2,920",69.0,"1,038",24.5,274,6.5
