ward,wardcode,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p
Astley Bridge,E05000650,85,1.4,47,0.8,428,7.2,15,0.3
Bradshaw,E05000651,32,0.6,21,0.4,346,7.0,17,0.3
Breightmet,E05000652,108,1.8,68,1.1,532,8.8,11,0.2
Bromley Cross,E05000653,46,0.8,17,0.3,421,7.1,15,0.3
Crompton (Bolton),E05000654,123,1.8,100,1.5,591,8.8,8,0.1
Farnworth (Bolton),E05000655,126,1.9,101,1.5,631,9.4,5,0.1
Great Lever,E05000656,119,2.1,143,2.5,553,9.6,15,0.3
Halliwell,E05000657,172,2.8,142,2.3,500,8.1,9,0.1
Harper Green,E05000658,82,1.5,84,1.5,452,8.3,7,0.1
Heaton and Lostock,E05000659,45,0.8,32,0.6,366,6.8,23,0.4
Horwich North East,E05000661,56,1.0,35,0.6,462,8.1,24,0.4
Horwich and Blackrod,E05000660,72,1.1,26,0.4,513,7.9,22,0.3
Hulton,E05000662,77,1.3,76,1.3,486,8.3,6,0.1
Kearsley,E05000663,81,1.2,67,1.0,524,8.0,16,0.2
Little Lever and Darcy Lever,E05000664,66,1.2,43,0.8,422,7.5,22,0.4
Rumworth,E05000665,111,1.9,150,2.6,585,10.0,7,0.1
Smithills,E05000666,94,1.6,50,0.8,519,8.6,13,0.2
Tonge with the Haulgh,E05000667,116,2.0,85,1.5,461,7.9,5,0.1
Westhoughton North and Chew Moor,E05000668,87,1.4,25,0.4,458,7.4,15,0.2
Westhoughton South,E05000669,49,0.9,32,0.6,403,7.2,15,0.3
Besses,E05014152,46,1.0,33,0.7,353,7.6,12,0.3
Bury East,E05014153,121,2.3,85,1.6,452,8.7,29,0.6
Bury West,E05014154,43,0.9,27,0.6,284,6.1,12,0.3
Elton,E05014155,54,1.1,27,0.6,397,8.1,10,0.2
Holyrood,E05014156,78,1.6,29,0.6,294,6.2,7,0.1
Moorside (Bury),E05014157,75,1.5,54,1.1,471,9.5,7,0.1
North Manor,E05014158,18,0.4,6,0.1,323,7.7,10,0.2
Pilkington Park,E05014159,39,0.9,17,0.4,262,6.2,10,0.2
Radcliffe East,E05014160,59,1.2,42,0.9,389,8.0,7,0.1
Radcliffe North & Ainsworth,E05014161,63,1.2,28,0.5,445,8.3,17,0.3
Radcliffe West,E05014162,72,1.4,42,0.8,457,9.2,6,0.1
Ramsbottom,E05014163,60,1.2,16,0.3,408,8.0,12,0.2
Redvales,E05014164,79,1.7,55,1.2,380,8.3,2,0.0
Sedgley (Bury),E05014165,47,1.1,37,0.8,285,6.4,7,0.2
St. Mary's (Bury),E05014166,82,1.7,46,0.9,336,6.8,5,0.1
Tottington,E05014167,30,0.7,10,0.2,298,7.0,16,0.4
Unsworth,E05014168,69,1.5,20,0.4,322,6.8,9,0.2
Cherryfield,E05010935,108,2.3,65,1.4,356,7.7,19,0.4
Halewood North,E05010936,69,1.6,35,0.8,321,7.3,16,0.4
Halewood South,E05010937,68,1.5,44,1.0,345,7.7,17,0.4
Northwood (Knowsley),E05010938,87,1.7,109,2.2,432,8.6,20,0.4
Page Moss,E05010939,80,1.6,82,1.6,376,7.5,19,0.4
Prescot North,E05010940,79,1.6,47,1.0,357,7.3,27,0.6
Prescot South,E05010941,60,1.4,55,1.3,314,7.4,21,0.5
Roby,E05010942,23,0.6,26,0.7,244,6.2,9,0.2
Shevington,E05010943,62,1.4,59,1.3,325,7.1,49,1.1
St Gabriels,E05010944,72,1.7,55,1.3,283,6.8,17,0.4
St Michaels (Knowsley),E05010945,63,1.6,55,1.4,317,7.9,8,0.2
Stockbridge,E05010946,67,1.4,141,3.0,334,7.1,16,0.3
Swanside,E05010947,55,1.4,31,0.8,228,5.9,7,0.2
Whiston and Cronton,E05010948,51,1.3,49,1.2,279,7.1,10,0.3
Whitefield,E05010949,76,1.8,77,1.8,309,7.2,17,0.4
Allerton and Hunts Cross,E05000886,101,1.6,30,0.5,362,5.6,15,0.2
Anfield,E05000887,184,2.8,103,1.6,523,8.1,8,0.1
Belle Vale (Liverpool),E05000888,109,1.6,94,1.4,521,7.6,33,0.5
Central (Liverpool),E05000889,295,4.1,135,1.9,394,5.5,7,0.1
Childwall,E05000890,94,1.8,18,0.3,302,5.8,8,0.2
Church (Liverpool),E05000891,96,1.7,17,0.3,330,5.8,11,0.2
Clubmoor,E05000892,117,1.8,115,1.7,467,7.0,8,0.1
County,E05000893,209,3.3,131,2.1,513,8.1,9,0.1
Cressington,E05000894,102,1.6,56,0.9,445,6.9,13,0.2
Croxteth,E05000895,112,1.9,63,1.1,450,7.5,13,0.2
Everton (Liverpool),E05000896,148,1.9,153,2.0,595,7.6,15,0.2
Fazakerley,E05000897,176,2.6,87,1.3,508,7.4,12,0.2
Greenbank,E05000898,122,2.2,58,1.0,441,7.8,8,0.1
Kensington and Fairfield,E05000899,238,3.3,165,2.3,674,9.5,12,0.2
Kirkdale,E05000900,237,2.8,154,1.8,630,7.3,13,0.2
Knotty Ash,E05000901,113,1.8,76,1.2,431,7.0,9,0.1
Mossley Hill,E05000902,105,2.0,34,0.6,316,6.0,11,0.2
Norris Green,E05000903,97,1.2,136,1.7,597,7.6,23,0.3
Old Swan,E05000904,217,3.1,91,1.3,528,7.4,5,0.1
Picton,E05000905,233,3.1,189,2.5,685,9.2,8,0.1
Princes Park (Liverpool),E05000906,216,2.6,231,2.8,711,8.6,9,0.1
Riverside (Liverpool),E05000907,337,3.0,162,1.4,746,6.5,18,0.2
Speke-Garston,E05000909,173,1.9,145,1.6,748,8.0,34,0.4
St Michael's (Liverpool),E05000908,141,2.2,38,0.6,443,7.0,11,0.2
