ward,wardcode,totalhouseholds
Astley Bridge,E05000650,"5,962"
Bradshaw,E05000651,"4,951"
Breightmet,E05000652,"6,012"
Bromley Cross,E05000653,"5,963"
Crompton (Bolton),E05000654,"6,749"
Farnworth (Bolton),E05000655,"6,681"
Great Lever,E05000656,"5,767"
Halliwell,E05000657,"6,180"
Harper Green,E05000658,"5,437"
Heaton and Lostock,E05000659,"5,395"
Horwich North East,E05000661,"5,693"
Horwich and Blackrod,E05000660,"6,464"
Hulton,E05000662,"5,880"
Kearsley,E05000663,"6,575"
Little Lever and Darcy Lever,E05000664,"5,602"
Rumworth,E05000665,"5,822"
Smithills,E05000666,"6,026"
Tonge with the Haulgh,E05000667,"5,838"
Westhoughton North and Chew Moor,E05000668,"6,197"
Westhoughton South,E05000669,"5,602"
Besses,E05014152,"4,630"
Bury East,E05014153,"5,209"
Bury West,E05014154,"4,643"
Elton,E05014155,"4,891"
Holyrood,E05014156,"4,756"
Moorside (Bury),E05014157,"4,950"
North Manor,E05014158,"4,214"
Pilkington Park,E05014159,"4,219"
Radcliffe East,E05014160,"4,864"
Radcliffe North & Ainsworth,E05014161,"5,344"
Radcliffe West,E05014162,"4,994"
Ramsbottom,E05014163,"5,094"
Redvales,E05014164,"4,563"
Sedgley (Bury),E05014165,"4,431"
St. Mary's (Bury),E05014166,"4,904"
Tottington,E05014167,"4,232"
Unsworth,E05014168,"4,754"
Cherryfield,E05010935,"4,622"
Halewood North,E05010936,"4,408"
Halewood South,E05010937,"4,477"
Northwood (Knowsley),E05010938,"5,042"
Page Moss,E05010939,"5,000"
Prescot North,E05010940,"4,892"
Prescot South,E05010941,"4,238"
Roby,E05010942,"3,918"
Shevington,E05010943,"4,546"
St Gabriels,E05010944,"4,148"
St Michaels (Knowsley),E05010945,"4,000"
Stockbridge,E05010946,"4,696"
Swanside,E05010947,"3,864"
Whiston and Cronton,E05010948,"3,925"
Whitefield,E05010949,"4,299"
Allerton and Hunts Cross,E05000886,"6,436"
Anfield,E05000887,"6,484"
Belle Vale (Liverpool),E05000888,"6,872"
Central (Liverpool),E05000889,"7,203"
Childwall,E05000890,"5,170"
Church (Liverpool),E05000891,"5,664"
Clubmoor,E05000892,"6,646"
County,E05000893,"6,350"
Cressington,E05000894,"6,420"
Croxteth,E05000895,"5,989"
Everton (Liverpool),E05000896,"7,821"
Fazakerley,E05000897,"6,851"
Greenbank,E05000898,"5,659"
Kensington and Fairfield,E05000899,"7,116"
Kirkdale,E05000900,"8,604"
Knotty Ash,E05000901,"6,150"
Mossley Hill,E05000902,"5,299"
Norris Green,E05000903,"7,880"
Old Swan,E05000904,"7,095"
Picton,E05000905,"7,436"
Princes Park (Liverpool),E05000906,"8,244"
Riverside (Liverpool),E05000907,"11,422"
Speke-Garston,E05000909,"9,347"
St Michael's (Liverpool),E05000908,"6,281"
Tuebrook and Stoneycroft,E05000910,"7,037"
Warbreck (Liverpool),E05000911,"6,531"
Wavertree,E05000912,"6,303"
West Derby,E05000913,"5,962"
Woolton,E05000914,"6,148"
Yew Tree,E05000915,"7,070"
Ancoats & Beswick,E05011350,"7,466"
Ardwick,E05011351,"6,738"
Baguley,E05011352,"6,744"
Brooklands (Manchester),E05011353,"6,795"
Burnage,E05011354,"6,522"
Charlestown,E05011355,"7,030"
Cheetham,E05011356,"6,953"
Chorlton,E05011357,"5,680"
Chorlton Park,E05011358,"7,103"
Clayton & Openshaw,E05011359,"7,709"
Crumpsall,E05011360,"6,022"
Deansgate,E05011361,"6,278"
Didsbury East,E05011362,"6,227"
Didsbury West,E05011363,"7,432"
Fallowfield,E05011364,"4,311"
Gorton & Abbey Hey,E05011365,"8,353"
