ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Astley Bridge,E05000650,"4,259",71.4,9,0.2,814,13.7,870,14.6,9,0.2
Bradshaw,E05000651,"3,896",78.7,14,0.3,663,13.4,375,7.6,5,0.1
Breightmet,E05000652,"3,272",54.4,7,0.1,"2,070",34.4,645,10.7,19,0.3
Bromley Cross,E05000653,"4,914",82.4,26,0.4,261,4.4,761,12.8,2,0.0
Crompton (Bolton),E05000654,"3,265",48.4,17,0.3,"1,683",24.9,"1,757",26.0,27,0.4
Farnworth (Bolton),E05000655,"3,129",46.8,46,0.7,"2,072",31.0,"1,417",21.2,17,0.3
Great Lever,E05000656,"2,326",40.3,31,0.5,"1,685",29.2,"1,697",29.4,27,0.5
Halliwell,E05000657,"1,913",30.9,20,0.3,"2,329",37.7,"1,890",30.6,32,0.5
Harper Green,E05000658,"3,063",56.3,39,0.7,"1,534",28.2,777,14.3,24,0.4
Heaton and Lostock,E05000659,"4,567",84.7,13,0.2,178,3.3,636,11.8,1,0.0
Horwich North East,E05000661,"3,902",68.5,18,0.3,951,16.7,813,14.3,9,0.2
Horwich and Blackrod,E05000660,"4,473",69.2,30,0.5,763,11.8,"1,193",18.5,5,0.1
Hulton,E05000662,"3,789",64.4,43,0.7,984,16.7,"1,051",17.9,13,0.2
Kearsley,E05000663,"4,116",62.6,32,0.5,"1,253",19.1,"1,157",17.6,19,0.3
Little Lever and Darcy Lever,E05000664,"4,074",72.7,28,0.5,770,13.7,719,12.8,11,0.2
Rumworth,E05000665,"2,577",44.3,25,0.4,"1,580",27.1,"1,607",27.6,33,0.6
Smithills,E05000666,"4,096",68.0,11,0.2,924,15.3,980,16.3,14,0.2
Tonge with the Haulgh,E05000667,"2,750",47.1,17,0.3,"1,549",26.5,"1,510",25.9,14,0.2
Westhoughton North and Chew Moor,E05000668,"4,677",75.5,47,0.8,565,9.1,904,14.6,2,0.0
Westhoughton South,E05000669,"4,028",71.9,21,0.4,931,16.6,613,10.9,7,0.1
Besses,E05014152,"2,705",58.4,16,0.3,"1,166",25.2,742,16.0,1,0.0
Bury East,E05014153,"2,377",45.6,25,0.5,"1,394",26.8,"1,399",26.9,15,0.3
Bury West,E05014154,"3,649",78.6,12,0.3,439,9.5,537,11.6,6,0.1
Elton,E05014155,"3,456",70.7,9,0.2,543,11.1,871,17.8,11,0.2
Holyrood,E05014156,"3,495",73.5,14,0.3,436,9.2,804,16.9,6,0.1
Moorside (Bury),E05014157,"2,671",54.0,43,0.9,"1,113",22.5,"1,105",22.3,18,0.4
North Manor,E05014158,"3,613",85.8,8,0.2,185,4.4,404,9.6,1,0.0
Pilkington Park,E05014159,"3,348",79.3,18,0.4,207,4.9,645,15.3,2,0.0
Radcliffe East,E05014160,"2,870",59.0,31,0.6,774,15.9,"1,182",24.3,8,0.2
Radcliffe North & Ainsworth,E05014161,"3,706",69.3,9,0.2,963,18.0,654,12.2,12,0.2
Radcliffe West,E05014162,"2,653",53.1,18,0.4,"1,144",22.9,"1,166",23.3,15,0.3
Ramsbottom,E05014163,"3,743",73.5,9,0.2,507,10.0,833,16.4,2,0.0
Redvales,E05014164,"2,466",54.1,26,0.6,"1,126",24.7,938,20.6,6,0.1
Sedgley (Bury),E05014165,"3,004",67.8,14,0.3,443,10.0,966,21.8,2,0.0
St. Mary's (Bury),E05014166,"3,181",64.9,7,0.1,870,17.7,840,17.1,6,0.1
