ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
Astley Bridge,E05000650,659,10.1,"1,006",15.5,915,14.1,746,11.5,318,4.9,48,0.7,35,0.5,39,0.6
Bradshaw,E05000651,289,6.0,859,17.8,679,14.1,640,13.3,182,3.8,22,0.5,24,0.5,33,0.7
Breightmet,E05000652,516,9.0,"1,456",25.4,687,12.0,697,12.2,155,2.7,32,0.6,38,0.7,55,1.0
Bromley Cross,E05000653,442,6.6,867,12.9,"1,042",15.5,767,11.4,351,5.2,37,0.6,42,0.6,52,0.8
Crompton (Bolton),E05000654,"1,213",17.1,"1,163",16.4,900,12.7,844,11.9,353,5.0,54,0.8,39,0.6,72,1.0
Farnworth (Bolton),E05000655,"1,070",15.8,"1,391",20.6,921,13.6,726,10.7,187,2.8,59,0.9,28,0.4,49,0.7
Great Lever,E05000656,"1,292",21.0,"1,019",16.6,632,10.3,696,11.3,269,4.4,45,0.7,34,0.6,50,0.8
Halliwell,E05000657,"1,093",21.0,699,13.4,682,13.1,608,11.7,237,4.5,30,0.6,15,0.3,57,1.1
Harper Green,E05000658,"1,156",18.9,"1,071",17.5,727,11.9,596,9.8,215,3.5,40,0.7,28,0.5,58,1.0
Heaton and Lostock,E05000659,336,5.5,"1,213",19.9,587,9.6,663,10.9,360,5.9,53,0.9,34,0.6,66,1.1
Horwich North East,E05000661,657,10.8,498,8.2,"1,158",19.1,626,10.3,346,5.7,69,1.1,31,0.5,61,1.0
Horwich and Blackrod,E05000660,664,9.2,683,9.4,"1,229",17.0,908,12.5,504,7.0,111,1.5,34,0.5,72,1.0
Hulton,E05000662,619,9.9,"1,394",22.4,646,10.4,685,11.0,269,4.3,38,0.6,28,0.4,54,0.9
Kearsley,E05000663,632,9.0,"1,032",14.6,"1,360",19.3,963,13.6,216,3.1,70,1.0,18,0.3,62,0.9
Little Lever and Darcy Lever,E05000664,445,7.7,"1,227",21.2,815,14.1,724,12.5,202,3.5,43,0.7,22,0.4,46,0.8
Rumworth,E05000665,"1,395",23.5,839,14.2,601,10.1,645,10.9,266,4.5,28,0.5,19,0.3,57,1.0
Smithills,E05000666,671,10.1,"1,341",20.1,719,10.8,670,10.1,287,4.3,46,0.7,36,0.5,49,0.7
Tonge with the Haulgh,E05000667,"1,018",17.9,"1,041",18.3,746,13.1,589,10.3,184,3.2,36,0.6,26,0.5,40,0.7
Westhoughton North and Chew Moor,E05000668,445,6.3,857,12.1,"1,342",19.0,751,10.6,401,5.7,69,1.0,34,0.5,76,1.1
Westhoughton South,E05000669,500,7.6,655,10.0,"1,324",20.2,681,10.4,394,6.0,68,1.0,30,0.5,57,0.9
Besses,E05014152,529,10.4,611,12.0,996,19.5,492,9.7,96,1.9,35,0.7,33,0.6,49,1.0
