ward,wardcode,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
Astley Bridge,E05000650,"2,053",31.6,627,9.6,"1,426",21.9,"4,452",68.4,"3,891",59.8,561,8.6
Bradshaw,E05000651,"1,423",29.5,481,10.0,942,19.5,"3,402",70.5,"2,967",61.5,435,9.0
Breightmet,E05000652,"1,792",31.3,496,8.7,"1,296",22.6,"3,934",68.7,"3,540",61.8,394,6.9
Bromley Cross,E05000653,"1,813",27.0,587,8.7,"1,226",18.3,"4,898",73.0,"4,178",62.3,720,10.7
Crompton (Bolton),E05000654,"2,439",34.4,703,9.9,"1,736",24.5,"4,641",65.6,"4,236",59.8,405,5.7
Farnworth (Bolton),E05000655,"2,197",32.5,650,9.6,"1,547",22.9,"4,565",67.5,"4,068",60.2,497,7.3
Great Lever,E05000656,"2,550",41.5,715,11.6,"1,835",29.9,"3,597",58.5,"3,261",53.1,336,5.5
Halliwell,E05000657,"2,037",39.1,594,11.4,"1,443",27.7,"3,179",60.9,"2,899",55.6,280,5.4
Harper Green,E05000658,"2,181",35.7,573,9.4,"1,608",26.3,"3,922",64.3,"3,527",57.8,395,6.5
Heaton and Lostock,E05000659,"1,895",31.1,655,10.8,"1,240",20.4,"4,198",68.9,"3,484",57.2,714,11.7
Horwich North East,E05000661,"1,694",27.9,558,9.2,"1,136",18.7,"4,377",72.1,"3,829",63.1,548,9.0
Horwich and Blackrod,E05000660,"1,902",26.3,578,8.0,"1,324",18.3,"5,334",73.7,"4,662",64.4,672,9.3
Hulton,E05000662,"2,012",32.3,553,8.9,"1,459",23.4,"4,216",67.7,"3,706",59.5,510,8.2
Kearsley,E05000663,"1,832",26.0,512,7.3,"1,320",18.7,"5,226",74.0,"4,602",65.2,624,8.8
Little Lever and Darcy Lever,E05000664,"1,572",27.2,440,7.6,"1,132",19.6,"4,212",72.8,"3,679",63.6,533,9.2
Rumworth,E05000665,"2,596",43.8,768,13.0,"1,828",30.9,"3,328",56.2,"3,072",51.9,256,4.3
Smithills,E05000666,"2,051",30.8,612,9.2,"1,439",21.6,"4,614",69.2,"4,039",60.6,575,8.6
